seed,Accuracy,Precision,Recall,F1,AUC
0,0.6357615894039735,0.6134683098591549,0.7692147034252297,0.561903254734399,0.8408521303258145
1,0.6423841059602649,0.6444736842105263,0.7391114982578397,0.6040209790209791,0.8072009291521487
2,0.6357615894039735,0.6142605633802817,0.7477099236641221,0.5674704442476954,0.8278625954198474
3,0.609271523178808,0.621355813136635,0.7531135531135531,0.556700004975867,0.8318681318681318
4,0.6158940397350994,0.6181578947368421,0.7209645669291338,0.5664356435643564,0.8139763779527559
5,0.6423841059602649,0.5864937388193202,0.7695094760312151,0.5333104395604396,0.8517279821627649
6,0.609271523178808,0.6016146016146016,0.7541703248463565,0.5360137492838914,0.8428446005267779
7,0.6291390728476821,0.5881307746979388,0.6977671451355663,0.5447889750215331,0.8018341307814992
8,0.6026490066225165,0.5951210951210951,0.7263993316624895,0.531055900621118,0.8312447786131997
9,0.6357615894039735,0.6071428571428571,0.7977941176470589,0.5497424776362158,0.9019607843137255
10,0.6357615894039735,0.6180555555555556,0.7947761194029851,0.561903254734399,0.8735733099209833
11,0.6887417218543046,0.6173952641165756,0.7983796296296296,0.5903607503607504,0.8722222222222222
12,0.6026490066225165,0.6050877192982457,0.7286259541984733,0.541868932038835,0.7927480916030535
13,0.5629139072847682,0.5925925925925926,0.7573529411764706,0.49605582524271846,0.9024509803921569
14,0.6225165562913907,0.5927006009190526,0.6848132487667371,0.5517420967657934,0.8333333333333333
15,0.6490066225165563,0.6243386243386243,0.7394701086956521,0.5882595050676545,0.8522418478260869
16,0.6490066225165563,0.6074982231698649,0.7527151211361738,0.5661154784494442,0.8575605680868839
17,0.6887417218543046,0.65227434257285,0.7811679790026247,0.6303838341753034,0.8467847769028871
18,0.7152317880794702,0.6030034655371582,0.7789363920750783,0.5876151159098126,0.8680917622523462
19,0.6423841059602649,0.6152557319223986,0.7729741019214703,0.5670135938827527,0.8462823725981621
20,0.6490066225165563,0.6418918918918919,0.7961538461538462,0.5930333079074498,0.8791208791208791
21,0.6291390728476821,0.6267543859649123,0.7646520146520146,0.5724110032362459,0.8186813186813187
22,0.6490066225165563,0.5816197691197691,0.7712829736211031,0.5299265785609397,0.8621103117505995
23,0.6688741721854304,0.609375,0.8175182481751825,0.5678800366300366,0.8461939520333681
24,0.695364238410596,0.6394300144300145,0.7831501831501831,0.6206858890345129,0.8468864468864469
25,0.6556291390728477,0.6447137337548297,0.7615873015873016,0.6072428971588636,0.8387301587301588
26,0.5960264900662252,0.61207805907173,0.7091535433070866,0.5506171634873396,0.8494094488188977
27,0.6291390728476821,0.6117264416315049,0.7654553049289892,0.5568134171907757,0.8149540517961571
28,0.6821192052980133,0.6056776556776556,0.7671296296296296,0.5780158360503027,0.8365740740740741
29,0.6556291390728477,0.6216335931963146,0.7418957011980267,0.5884696016771489,0.8234672304439746
